id,onoma,long,lat
105,ΓΥΜΝΑΣΙΟ ΚΑΝΔΗΛΑΣ,20.941016,38.703108
106,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΟΜΑΡΩΝ ΟΡΕΣΤΙΑΔΑΣ,26.22582,41.59535
107,ΓΥΜΝΑΣΙΟ ΝΕΑΠΟΛΗΣ-ΡΟΥΣΕΙΚΩΝ,21.351695,38.644245
108,ΓΥΜΝΑΣΙΟ ΑΝΤΙΡΙΟΥ,21.763291,38.334093
109,3ο ΓΥΜΝΑΣΙΟ ΝΑΥΠΑΚΤΟΥ,21.834677,38.39242
110,ΓΥΜΝΑΣΙΟ ΑΣΤΑΚΟΥ ΚΑΡΑΜΟΥΖΕΙΟ,21.083173,38.534466
111,ΓΥΜΝΑΣΙΟ ΒΟΝΙΤΣΑΣ,20.884987,38.915958
112,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΙΚΑΙΩΝ ΟΡΕΣΤΙΑΔΑΣ,26.299195,41.70349
113,3ο ΓΥΜΝΑΣΙΟ ΑΓΡΙΝΙΟΥ,21.414241,38.618602
114,ΓΥΜΝΑΣΙΟ ΑΙΓΙΟΥ ΑΘΛΗΤΙΚΟ,22.073004,38.247016
115,ΓΥΜΝΑΣΙΟ ΠΑΤΡΑΣ ΜΟΥΣΙΚΟ,21.755973,38.220246
116,2ο ΓΥΜΝΑΣΙΟ ΝΑΥΠΑΚΤΟΥ,21.820148,38.392213
117,ΓΥΜΝΑΣΙΟ ΚΑΤΩ ΚΑΣΤΡΙΤΣΙΟΥ,21.80266,38.288643
118,ΓΥΜΝΑΣΙΟ ΘΕΡΜΟΥ,21.6689,38.572433
119,ΓΥΜΝΑΣΙΟ ΠΑΡΑΒΟΛΑΣ,21.527167,38.613328
120,1ο ΓΥΜΝΑΣΙΟ ΝΑΥΠΑΚΤΟΥ,21.820957,38.391035
121,ΓΥΜΝΑΣΙΟ ΠΑΝΑΙΤΩΛΙΟΥ,21.44683,38.579507
122,ΓΥΜΝΑΣΙΟ ΛΟΥΤΡΟΥ ΚΡΙΚΕΛΟΥ,21.181121,38.94409
123,ΓΥΜΝΑΣΙΟ ΑΜΦΙΛΟΧΙΑΣ,21.163085,38.860172
124,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΕΡΙΘΩΡΙΟΥ,23.782219,41.309994
125,2ο ΓΥΜΝΑΣΙΟ ΠΑΤΡΑΣ,21.729938,38.243316
126,4ο ΓΥΜΝΑΣΙΟ ΑΓΡΙΝΙΟΥ,21.41513,38.614982
127,5ο ΓΥΜΝΑΣΙΟ ΑΓΡΙΝΙΟΥ,21.41557,38.623456
128,ΓΥΜΝΑΣΙΟ ΠΑΤΡΑΣ ΑΘΛΗΤΙΚΟ,21.74762,38.222233
129,2ο ΓΥΜΝΑΣΙΟ ΠΑΡΑΛΙΑΣ ΠΑΤΡΑΣ,21.702631,38.197157
130,ΓΥΜΝΑΣΙΟ ΜΟΝΑΣΤΗΡΑΚΙΟΥ,20.945528,38.850344
131,ΓΥΜΝΑΣΙΟ ΑΓΡΙΝΙΟΥ ΜΟΥΣΙΚΟ,21.415048,38.61502
132,"1ο ΓΥΜΝΑΣΙΟ ΑΓΡΙΝΙΟΥ ""ΠΑΠΑΣΤΡΑΤΕΙΟ """,21.406227,38.628355
133,10ο ΓΥΜΝΑΣΙΟ ΠΑΤΡΑΣ,21.73334,38.214403
134,ΓΥΜΝΑΣΙΟ ΔΕΜΕΝΙΚΩΝ ΑΧΑΙΑΣ,21.741581,38.208575
135,ΓΥΜΝΑΣΙΟ ΚΑΜΑΡΟΥΛΑΣ ΑΙΤ/ΝΙΑΣ,21.446871,38.62928
136,ΓΥΜΝΑΣΙΟ ΠΑΤΡΑΣ ΠΕΙΡΑΜΑΤΙΚΟ,21.744272,38.228051
137,2ο ΓΥΜΝΑΣΙΟ ΑΓΡΙΝΙΟΥ,21.40447,38.619264
138,ΓΥΜΝΑΣΙΟ ΜΑΤΑΡΑΓΚΑΣ,21.472575,38.522816
139,12ο ΓΥΜΝΑΣΙΟ ΠΑΤΡΑΣ,21.734711,38.226153
140,ΓΥΜΝΑΣΙΟ ΓΟΥΡΙΑΣ,21.263605,38.472036
141,1ο ΓΥΜΝΑΣΙΟ ΑΙΓΙΟΥ,22.076966,38.249256
142,ΓΥΜΝΑΣΙΟ ΓΑΒΑΛΟΥΣ,21.537019,38.527227
143,7ο ΓΥΜΝΑΣΙΟ ΑΓΡΙΝΙΟΥ,21.416492,38.625242
144,4ο ΓΥΜΝΑΣΙΟ ΠΑΤΡΑΣ,21.743043,38.235384
145,18ο ΓΥΜΝΑΣΙΟ ΠΑΤΡΑΣ ΚΩΦΩΝ,21.742947,38.242604
146,ΓΥΜΝΑΣΙΟ ΡΙΟΛΟΥ,21.466488,38.056537
147,ΓΥΜΝΑΣΙΟ ΦΑΡΩΝ,21.716413,38.090181
148,ΓΥΜΝΑΣΙΟ ΕΥΗΝΟΧΩΡΙΟΥ,21.535178,38.359332
149,2ο ΓΥΜΝΑΣΙΟ ΜΕΣΟΛΟΓΓΙΟΥ,21.431067,38.374068
150,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΚΙΑΔΑΣ ΜΕΙΟΝΟΤΙΚΟ,,
151,ΓΥΜΝΑΣΙΟ ΦΥΤΕΙΩΝ,21.185954,38.694953
152,4ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΓΡΙΝΙΟΥ,21.386121,38.63453
153,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΛΑΠΠΑ,21.402308,38.126268
154,5ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΓΡΙΝΙΟΥ,21.413462,38.625451
155,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΙΓΕΙΡΑΣ ΑΧΑΪΑΣ,,
156,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΟΤΑΜΟΥ ΚΥΘΗΡΩΝ ΔΗΛΑΒΕΡΕΙΟ,22.963121,36.298382
157,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΑΤΡΑΣ ΕΣΠΕΡΙΝΟ,21.731972,38.2367
158,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΡΙΟΥ,21.782765,38.300414
159,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΚΑΣΤΡΙΤΣΙΟΥ,21.80266,38.288643
160,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΕΥΗΝΟΧΩΡΙΟΥ,21.535178,38.359332
161,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΜΑΤΑΡΑΓΚΑΣ,21.472575,38.522816
162,3ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΚΟΠΕΛΟΥ-ΚΛΗΜΑΤΟΣ,23.643403,39.137967
163,2ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΝΑΥΠΑΚΤΟΥ,21.820148,38.392213
164,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΝΕΟΧΩΡΙΟΥ ΑΙΤ/ΝΙΑΣ,21.277365,38.406867
165,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΘΕΡΜΟΥ,21.6689,38.572433
166,1ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΝΑΥΠΑΚΤΟΥ,21.820957,38.391035
167,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΚΑΤΟΥΝΑΣ,21.118707,38.784711
168,ΑΡΣΑΚΕΙΟ ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΑΤΡΑΣ,,
169,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΑΝΤΑΜΑΔΟΥ ΛΕΣΒΟΥ,26.337309,39.310332
170,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΝΔΡΙΤΣΑΙΝΑΣ,21.907002,37.484598
171,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΔΙΑΚΟΠΤΟΥ,22.200553,38.188714
172,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΒΟΥΝΑΡΓΟΥ,21.411405,37.735016
173,1ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΜΑΛΙΑΔΑΣ,21.35516,37.800522
174,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΜΦΙΛΟΧΙΑΣ,21.163085,38.860172
175,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΒΟΝΙΤΣΑΣ,20.884987,38.915958
176,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΣΤΑΚΟΥ,21.083173,38.534466
177,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΙΤΩΛΙΚΟΥ,21.319359,38.427731
178,10ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΑΤΡΑΣ,21.733635,38.250877
179,9ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΑΤΡΑΣ,21.754089,38.272996
180,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΖΑΧΑΡΩΣ,21.651403,37.485198
181,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΑΡΑΒΟΛΑΣ,21.527167,38.613328
182,4ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΑΤΡΑΣ,21.742789,38.241166
183,3ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΑΤΡΑΣ,21.732039,38.229976
