profamMFR	NCOMP	ORDCOM_1	POSIND_1	RELPAR_1	SESSO_1	ETAM_1	tipnu2_1	numnu2_1	rpnuc2_1	ORDCOM_2	POSIND_2	RELPAR_2	SESSO_2	ETAM_2	tipnu2_2	numnu2_2	rpnuc2_2	ORDCOM_3	POSIND_3	RELPAR_3	SESSO_3	ETAM_3	tipnu2_3	numnu2_3	rpnuc2_3	ORDCOM_4	POSIND_4	RELPAR_4	SESSO_4	ETAM_4	tipnu2_4	numnu2_4	rpnuc2_4	ORDCOM_5	POSIND_5	RELPAR_5	SESSO_5	ETAM_5	tipnu2_5	numnu2_5	rpnuc2_5	ORDCOM_6	POSIND_6	RELPAR_6	SESSO_6	ETAM_6	tipnu2_6	numnu2_6	rpnuc2_6	ORDCOM_7	POSIND_7	RELPAR_7	SESSO_7	ETAM_7	tipnu2_7	numnu2_7	rpnuc2_7
021712	03	01	1	01	1	009	1	1	3	02	1	04	2	017	1	1	1	03	1	04	1	018	1	1	2	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021713	03	01	1	01	1	012	1	1	2	02	1	02	2	011	1	1	1	03	1	06	2	003	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021714	02	01	1	01	1	018	2	1	2	02	1	02	2	018	2	1	1	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021715	03	01	1	01	2	009	1	1	1	02	1	02	1	009	1	1	2	03	1	06	1	001	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021716	04	01	1	01	2	011	1	1	1	02	1	02	1	012	1	1	2	03	1	06	2	002	1	1	3	04	1	06	2	001	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021689	03	01	1	01	1	015	1	1	2	02	1	03	2	013	1	1	1	03	1	06	2	003	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021690	04	01	1	01	1	013	1	1	2	02	1	02	2	012	1	1	1	03	1	06	2	005	1	1	3	04	1	06	2	004	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021691	01	01	1	01	1	017	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021692	03	01	1	01	1	010	1	1	2	02	1	02	2	009	1	1	1	03	1	06	2	002	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021693	05	01	1	01	1	014	1	1	2	02	1	02	2	014	1	1	1	03	1	06	1	009	1	1	3	04	1	06	1	008	1	1	3	05	1	06	1	007	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021694	02	01	1	01	1	018	2	1	2	02	1	02	2	017	2	1	1	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021695	02	01	1	01	1	008	3	1	3	02	1	04	1	013	3	1	1	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021696	03	01	1	01	1	013	1	1	2	02	1	03	2	010	1	1	1	03	1	06	1	002	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021697	04	01	1	01	1	008	1	1	3	02	1	04	2	013	1	1	1	03	1	04	1	014	1	1	2	04	1	12	1	005	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021698	01	01	1	01	1	013	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021699	02	01	1	01	1	017	2	1	2	02	1	02	2	017	2	1	1	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021700	01	01	1	01	1	013	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021701	01	01	1	01	2	012	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021702	04	01	1	01	2	014	1	1	1	02	1	02	1	014	1	1	2	03	1	06	1	008	1	1	3	04	1	06	1	006	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021703	03	01	1	01	2	013	1	1	1	02	1	02	1	013	1	1	2	03	1	06	2	004	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021704	04	01	1	01	2	008	1	1	3	02	1	04	1	015	1	1	2	03	1	04	2	014	1	1	1	04	1	12	2	009	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021705	03	01	1	01	2	015	1	1	1	02	1	02	1	015	1	1	2	03	1	06	2	008	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021706	03	01	1	01	2	010	1	1	1	02	1	02	1	010	1	1	2	03	1	06	2	002	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021707	04	01	1	01	2	012	1	1	1	02	1	02	1	013	1	1	2	03	1	06	2	007	1	1	3	04	1	06	1	008	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021708	03	01	1	01	2	012	1	1	1	02	1	02	1	013	1	1	2	03	1	06	2	005	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021709	04	01	1	01	2	012	1	1	1	02	1	02	1	014	1	1	2	03	1	06	1	002	1	1	3	04	1	06	2	001	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021710	04	01	1	01	2	015	1	1	1	02	1	02	1	015	1	1	2	03	1	06	1	008	1	1	3	04	1	06	1	008	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021711	05	01	1	01	2	007	1	1	3	02	1	04	1	015	1	1	2	03	1	04	2	013	1	1	1	04	1	12	2	007	1	1	3	05	1	12	1	004	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021742	01	01	1	01	1	013	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021743	01	01	1	01	1	013	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
021744	01	01	1	01	1	013	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
