level,location_id,name,sum,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
8,2423703030402,"Καλαμάκιον,το",149,8,14,5,3,6,8,11,13,7,10,12,11,10,13,9,14
8,2423703030403,"Κάτω Λιμνοχώριον,το",101,9,12,9,0,0,3,8,10,9,4,7,7,5,5,8,5
8,2423703030404,"Παραλία Καλαμακίου,η",140,21,16,9,3,0,4,14,27,17,5,0,3,3,3,5,3
7,24237030305,Δημοτική Κοινότητα Μύρτου,157,4,5,11,11,9,7,9,7,8,13,8,10,10,15,7,20
8,2423703030501,"Μύρτος,ο",77,0,4,5,3,4,0,8,3,4,9,3,5,3,6,3,9
8,2423703030502,"Γιουλαίικα,τα",38,0,0,3,0,0,4,0,3,3,7,0,0,4,5,0,6
8,2423703030503,"Πουρνάριον,το",42,0,0,0,5,3,3,3,0,3,3,3,3,3,3,0,4
7,24237030306,Δημοτική Κοινότητα Φράγκας,123,6,3,8,4,3,8,9,5,10,11,10,6,11,6,6,18
8,2423703030601,"Φράγκα,η",78,0,3,3,3,4,3,6,7,0,10,6,7,8,5,5,11
8,2423703030602,"Σπαναίικα,τα",22,3,0,3,0,0,3,3,0,3,3,0,0,3,0,0,3
8,2423703030603,"Τσακώνικα,τα",24,0,0,4,0,0,0,0,0,0,3,3,0,0,0,0,4
6,242370304,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΩΛΕΝΙΑΣ,1757,51,58,82,93,74,68,69,85,95,119,137,125,98,126,111,363
7,24237030401,Δημοτική Κοινότητα Λουσικών,254,5,5,16,17,5,8,11,13,16,24,16,15,9,20,17,48
8,2423703040101,"Λουσικά,τα",186,5,5,12,16,5,9,6,9,14,18,12,11,4,7,10,40
8,2423703040102,"Σπαλιαραίικα,τα",49,3,3,3,0,0,0,3,6,4,3,5,3,4,3,5,8
8,2423703040103,"Υψηλή Ράχη,η",17,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,6
7,24237030402,Δημοτική Κοινότητα Αγίου Νικολάου Κράλης,158,4,8,12,9,7,8,5,11,12,16,8,6,9,11,12,30
8,2423703040201,"Καλαμάκιον,το",60,0,7,9,5,0,0,4,4,0,10,0,3,3,3,3,12
8,2423703040202,"Άγιος Νικόλαος,ο",32,3,0,4,5,3,0,0,0,3,4,3,0,0,3,0,3
8,2423703040203,"Αυγεραίικα,τα",19,0,0,0,3,0,0,0,0,0,0,3,0,0,0,4,9
8,2423703040204,"Θωμαίικα,τα",35,0,0,4,4,0,3,0,3,0,3,5,0,0,0,3,8
8,2423703040205,"Ποιμενοχώριον,το",14,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,4
7,24237030403,Δημοτική Κοινότητα Αγίου Στεφάνου,85,6,3,3,3,5,7,3,3,3,7,10,3,7,3,5,12
8,2423703040301,"Άγιος Στέφανος,ο",68,6,4,3,3,0,5,3,3,6,0,10,0,4,5,5,8
8,2423703040302,"Παλαιά Περιστέρα,η",14,3,0,0,3,3,0,0,0,0,3,0,0,0,0,0,3
8,2423703040303,"Φυλακές,οι",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24237030404,Δημοτική Κοινότητα Άνω Σουδεναιίκων,78,0,0,3,4,0,0,4,3,4,4,5,11,3,4,8,22
8,2423703040401,"Άνω Σουδεναίικα,τα",78,0,0,3,4,0,0,4,3,4,4,5,11,3,4,8,22
7,24237030405,Δημοτική Κοινότητα Άρλας,151,0,4,13,6,9,4,3,10,8,15,15,7,9,7,6,27
8,2423703040501,"Άρλα,η",151,0,4,13,6,9,4,3,10,8,15,15,7,9,7,6,27
7,24237030406,Δημοτική Κοινότητα Αχαϊκού,61,0,0,0,0,3,6,0,3,0,0,6,8,7,5,0,17
8,2423703040601,"Αχαϊκόν,το",61,0,0,0,0,3,6,0,3,0,0,6,8,7,5,0,17
7,24237030407,Δημοτική Κοινότητα Γαλαναίϊκα,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6
8,2423703040701,"Γαλαναίϊκα,τα",11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6
7,24237030408,Δημοτική Κοινότητα Γκανέϊκα,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423703040801,"Γκανέικα,τα",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24237030409,Δημοτική Κοινότητα Κάτω Μαζαράκι,248,11,8,9,15,9,10,8,11,12,19,22,17,15,23,11,49
8,2423703040901,"Κάτω Μαζαράκιον,το",248,11,8,9,15,9,10,8,11,12,19,22,17,15,23,11,49
7,24237030410,Δημοτική Κοινότητα Μιτοπόλεως,143,13,4,3,9,9,7,4,6,13,5,4,9,4,14,11,29
8,2423703041001,"Μιτόπολις,η",89,8,4,4,3,6,6,4,5,5,5,4,6,3,6,5,16
8,2423703041002,"Κώμη,η",42,0,0,0,0,0,0,0,3,5,4,0,0,3,5,9,14
8,2423703041003,"Σουβαλιωτέικα,τα",6,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0
7,24237030411,Δημοτική Κοινότητα Πορτών,76,0,3,3,3,4,3,3,0,5,6,0,3,4,7,4,23
8,2423703041101,"Πόρται,αι",76,0,3,3,3,4,3,3,0,5,6,0,3,4,7,4,23
7,24237030412,Δημοτική Κοινότητα Σαντομερίου,110,3,3,3,5,10,8,5,3,3,3,12,11,4,6,9,17
8,2423703041201,"Σαντομέριον,το",71,3,4,0,3,4,3,5,0,5,3,6,4,3,5,8,11
8,2423703041202,"Αμπελάκια,τα",7,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
8,2423703041203,"Μονή Αγίας Μαρίνης Μαρίτσης,η",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423703041204,"Πολύλοφον,το",33,0,0,0,4,0,0,0,5,0,0,4,4,4,0,0,4
7,24237030413,Δημοτική Κοινότητα Φλόκα,60,3,0,4,4,0,0,0,4,4,0,4,6,6,6,0,20
8,2423703041301,"Φλόκας,ο",30,0,0,0,3,0,0,0,0,3,0,3,3,0,3,0,12
8,2423703041302,"Ζησιμαίικα,τα",33,3,0,0,0,0,0,0,0,4,0,0,3,4,3,0,5
7,24237030414,Δημοτική Κοινότητα Φωσταίνης,85,3,3,0,4,4,5,4,3,7,0,5,7,3,6,9,13
8,2423703041401,"Φώσταινα,η",85,3,3,0,4,4,5,4,3,7,0,5,7,3,6,9,13
7,24237030415,Δημοτική Κοινότητα Χαϊκαλίου,155,7,5,9,10,7,7,5,7,6,12,12,13,14,10,9,27
8,2423703041501,"Χαϊκάλιον,το",121,3,5,6,0,7,5,6,4,3,13,9,10,6,6,6,24
8,2423703041502,"Κατσαϊταίικα,τα",20,3,0,0,0,0,0,3,0,0,0,0,0,0,7,4,3
8,2423703041503,"Κουνελαίικα,τα",14,0,0,0,5,0,0,0,3,0,0,4,0,0,0,0,0
7,24237030416,Δημοτική Κοινότητα Χαραυγής,94,0,0,4,9,6,0,6,5,4,4,3,8,7,9,11,18
8,2423703041601,"Χαραυγή,η",16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,5
8,2423703041602,"Νεοχώριον,το",32,0,0,0,4,0,0,5,3,3,0,3,3,6,4,0,4
8,2423703041603,"Πηγάδια,τα",44,0,0,0,3,4,0,5,3,4,0,3,4,0,4,6,8
5,2423704,ΔΗΜΟΣ ΕΡΥΜΑΝΘΟΥ,3814,130,177,203,189,167,193,197,182,223,234,233,268,275,263,221,655
6,242370401,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΦΑΡΡΩΝ,2079,81,96,124,113,93,106,104,105,124,134,128,141,146,128,109,339
7,24237040101,Δημοτική Κοινότητα Χαλανδρίτσης,443,18,23,28,22,24,20,25,25,31,25,29,28,26,31,19,66
8,2423704010101,"Χαλανδρίτσα,η",390,14,17,26,21,15,20,22,21,27,21,29,20,17,27,19,63
8,2423704010102,"Κυδωνιές,οι",8,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0
8,2423704010103,"Μαστοραίικα - Σταμαίικα,τα",44,3,5,0,3,6,3,0,4,7,8,0,5,5,4,3,5
7,24237040102,Δημοτική Κοινότητα Βασιλικού,319,9,12,24,14,13,9,12,17,19,28,14,27,24,31,20,48
8,2423704010201,"Βασιλικόν,το",177,6,0,15,8,4,7,8,7,16,16,5,19,8,11,11,34
8,2423704010202,"Αγριλιά,η",49,0,8,0,0,0,0,0,6,0,3,0,6,3,5,7,7
8,2423704010203,"Κυδωνίαι,αι",44,4,4,3,3,3,0,4,3,0,9,3,0,3,7,4,3
8,2423704010204,"Στέρνα,η",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
