level,location_id,name,sum,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
8,2423705030103,"Ελατόφυτον,το",7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
8,2423705030104,"Ζαρέλια,τα",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423705030105,"Καλλιθέα,η",20,0,0,0,0,0,0,0,3,3,0,3,0,3,3,3,5
7,24237050302,Δημοτική Κοινότητα Αγίου Νικολάου,45,0,0,0,0,5,0,5,3,0,3,0,0,6,7,0,9
8,2423705030201,"Άγιος Νικόλαος,ο",45,0,0,0,0,5,0,5,3,0,3,0,0,6,7,0,9
7,24237050303,Δημοτική Κοινότητα Άνω Κλειτορίας,22,0,3,0,0,0,0,0,0,0,0,0,4,4,0,5,9
8,2423705030301,"Άνω Κλειτορία,η",22,0,3,0,0,0,0,0,0,0,0,0,4,4,0,5,9
7,24237050304,Δημοτική Κοινότητα Άρμπουνα,17,0,0,0,0,3,0,4,3,0,0,3,3,0,4,0,6
8,2423705030401,"Άρμπουνας,ο",17,0,0,0,0,3,0,4,3,0,0,3,3,0,4,0,6
7,24237050305,Δημοτική Κοινότητα Γλάστρας,26,3,0,0,3,0,0,0,0,7,3,0,3,4,0,0,7
8,2423705030501,"Άγιος Βλάσιος,ο",19,3,0,0,0,0,0,0,4,0,3,0,3,0,0,0,4
8,2423705030502,"Γλάστρα,η",4,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0
7,24237050306,Δημοτική Κοινότητα Δρυμού,39,4,0,0,0,3,3,0,3,4,0,4,0,5,6,3,8
8,2423705030601,"Δρυμός,ο",25,0,0,0,0,0,3,0,0,0,0,5,0,3,4,8,5
8,2423705030602,"Κάτω Δρυμός,ο",16,4,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0
7,24237050307,Δημοτική Κοινότητα Καστελλίου,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8
8,2423705030701,"Καστέλλιον,το",11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8
